,Year,TMMDX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.34,-2.06,-2.66,-0.29,0.32,0.32,11.0,64.0
1,2000,8.17,11.68,9.62,-3.52,-1.46,0.82,12.0,82.0
2,2001,4.97,5.13,4.37,-0.16,0.59,0.8,16.0,17.0
3,2002,8.47,9.6,8.12,-1.13,0.36,0.75,5.0,45.0
4,2003,4.63,5.31,4.03,-0.69,0.59,0.73,8.0,25.0
5,2004,3.92,4.48,2.88,-0.56,1.05,0.72,0.72,15.0
6,2005,3.04,3.51,2.08,-0.47,0.96,0.69,5.0,12.0
7,2006,3.95,4.84,3.77,-0.89,0.18,0.72,5.0,35.0
8,2007,0.65,3.36,2.05,-2.71,-1.41,0.66,9.0,87.0
9,2008,-7.55,-2.47,-2.81,-5.07,-4.74,0.65,5.0,88.0
10,2009,15.76,12.91,11.29,2.85,4.47,0.68,14.0,11.0
11,2010,2.35,2.38,1.65,-0.03,0.71,0.67,7.0,17.0
12,2011,9.63,10.7,8.9,-1.07,0.73,0.67,9.0,27.0
13,2012,5.78,6.78,4.75,-1.0,1.02,0.67,7.0,23.0
14,2013,-2.62,-2.55,-2.82,-0.07,0.2,0.67,13.0,54.0
15,YTD,6.26,8.5,6.39,-2.24,-0.13,0.7,11.0,43.0
