,Year,TPINX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.83,-0.82,-2.86,-4.01,-1.96,-1.96,75.0,57.0
1,2000,2.79,11.63,3.21,-8.83,-0.42,1.23,180.0,49.0
2,2001,4.18,8.44,1.95,-4.27,2.22,1.33,101.0,30.0
3,2002,20.03,10.26,14.1,9.78,5.93,1.21,58.0,24.0
4,2003,21.29,4.1,13.79,17.18,7.49,1.1,64.0,9.0
5,2004,14.62,4.34,8.98,10.28,5.64,1.13,1.13,4.0
6,2005,-3.07,2.43,-3.33,-5.5,0.25,1.05,28.0,39.0
7,2006,13.51,4.33,5.42,9.17,8.09,1.03,39.0,4.0
8,2007,10.86,6.97,7.28,3.89,3.57,0.99,44.0,6.0
9,2008,6.28,5.24,-1.57,1.04,7.85,0.92,30.0,16.0
10,2009,18.86,5.93,13.12,12.93,5.74,0.92,66.0,19.0
11,2010,12.68,6.54,6.35,6.14,6.33,0.91,12.0,7.0
12,2011,-2.37,7.84,3.39,-10.22,-5.77,0.88,26.0,96.0
13,2012,15.81,4.21,8.09,11.59,7.72,0.89,42.0,4.0
14,2013,2.22,-2.02,-2.62,4.24,4.84,0.86,42.0,4.0
15,YTD,3.32,5.87,2.75,-2.54,0.58,0.89,35.0,36.0
