,Year,TPLGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,0.65,0.65,0.65
1,2004,7.29,10.88,7.81,-3.59,-0.52,0.65,0.65,53.0
2,2005,4.05,4.91,6.71,-0.86,-2.66,0.65,17.0,71.0
3,2006,9.08,15.79,7.05,-6.72,2.02,0.65,49.0,31.0
4,2007,12.99,5.49,13.35,7.5,-0.36,0.65,78.0,49.0
5,2008,-42.61,-37.0,-40.67,-5.61,-1.94,0.65,62.0,69.0
6,2009,42.99,26.46,35.68,16.52,7.3,0.65,60.0,18.0
7,2010,16.37,15.06,15.53,1.31,0.84,0.65,45.0,39.0
8,2011,1.47,2.11,-2.46,-0.64,3.93,0.65,37.0,18.0
9,2012,18.48,16.0,15.34,2.48,3.14,0.65,22.0,17.0
10,2013,41.44,32.39,33.92,9.05,7.52,0.6,47.0,8.0
11,YTD,10.78,13.98,10.79,-3.19,-0.0,-0.0,-0.0,52.0
