,Year,TREMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,1.75,63.0,63.0
1,2001,-7.67,-19.73,-19.73,12.06,12.06,1.75,83.0,82.0
2,2002,3.72,-14.95,-14.95,18.67,18.67,1.75,94.0,4.0
3,2003,69.22,40.83,40.83,28.39,28.39,1.75,1.75,11.0
4,2004,30.01,20.91,20.91,9.1,9.1,1.75,1.75,12.0
5,2005,59.0,16.62,16.62,42.38,42.38,1.32,28.0,1.0
6,2006,34.74,26.65,26.65,8.09,8.09,1.26,55.0,26.0
7,2007,27.91,16.65,16.65,11.25,11.25,1.24,60.0,90.0
8,2008,-75.85,-45.53,-45.53,-30.32,-30.32,1.32,36.0,98.0
9,2009,125.13,41.45,41.45,83.68,83.68,1.64,40.0,1.0
10,2010,33.48,11.15,11.15,22.33,22.33,1.41,28.0,1.0
11,2011,-33.16,-13.71,-13.71,-19.46,-19.46,1.45,22.0,98.0
12,2012,25.24,16.83,16.83,8.41,8.41,1.55,11.0,23.0
13,2013,3.98,15.29,13.4,-11.31,-9.43,1.47,17.0,85.0
14,YTD,-22.92,-0.27,-4.41,-22.65,-18.51,-18.51,-18.51,92.0
