,Year,TRHYX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,20.96,4.1,24.36,16.86,-3.4,0.5,72.0,72.0
1,2004,10.47,4.34,9.99,6.13,0.48,0.5,74.0,36.0
2,2005,3.65,2.43,2.59,1.22,1.06,0.5,64.0,18.0
3,2006,9.64,4.33,10.14,5.31,-0.5,0.5,80.0,59.0
4,2007,3.3,6.97,1.47,-3.67,1.83,0.5,73.0,12.0
5,2008,-21.19,5.24,-26.41,-26.43,5.22,0.5,62.0,21.0
6,2009,44.28,5.93,46.7,38.34,-2.42,0.5,46.0,63.0
7,2010,14.68,6.54,14.24,8.14,0.44,0.5,90.0,35.0
8,2011,3.49,7.84,2.83,-4.35,0.66,0.5,78.0,46.0
9,2012,14.77,4.21,14.67,10.55,0.1,0.5,55.0,48.0
10,2013,8.52,-2.02,6.9,10.55,1.63,0.5,80.0,18.0
11,YTD,3.84,5.87,2.83,-2.03,1.01,0.5,59.0,24.0
