,Year,TRLGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,-24.94,-22.1,-27.64,-2.84,2.7,0.65,91.0,33.0
1,2003,38.52,28.68,28.66,9.84,9.86,0.65,0.65,8.0
2,2004,11.09,10.88,7.81,0.2,3.28,0.65,0.65,22.0
3,2005,7.7,4.91,6.71,2.79,0.99,0.61,64.0,38.0
4,2006,6.29,15.79,7.05,-9.51,-0.77,0.58,52.0,60.0
5,2007,8.69,5.49,13.35,3.19,-4.67,0.58,61.0,74.0
6,2008,-40.86,-37.0,-40.67,-3.86,-0.19,0.58,66.0,52.0
7,2009,53.4,26.46,35.68,26.94,17.72,0.57,61.0,5.0
8,2010,16.29,15.06,15.53,1.23,0.76,0.57,60.0,41.0
9,2011,-1.4,2.11,-2.46,-3.51,1.06,0.57,58.0,44.0
10,2012,17.55,16.0,15.34,1.55,2.21,0.57,40.0,25.0
11,2013,44.44,32.39,33.92,12.05,10.52,0.56,42.0,3.0
12,YTD,9.9,13.98,10.79,-4.07,-0.88,-0.88,-0.88,63.0
