,Year,TRPBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.95,13.49,10.71,-5.54,-2.75,-2.75,34.0,65.0
1,2000,5.6,1.68,1.82,3.92,3.78,0.98,48.0,26.0
2,2001,-2.49,-2.46,-5.05,-0.02,2.56,1.02,62.0,24.0
3,2002,-7.74,-6.69,-12.02,-1.05,4.28,1.02,97.0,14.0
4,2003,24.38,22.48,20.35,1.9,4.03,0.9,88.0,17.0
5,2004,12.55,11.48,8.86,1.07,3.69,0.86,0.86,9.0
6,2005,6.44,7.04,5.13,-0.6,1.32,0.87,74.0,25.0
7,2006,11.92,12.95,11.29,-1.04,0.63,0.86,49.0,34.0
8,2007,7.7,8.63,5.99,-0.94,1.7,0.77,62.0,27.0
9,2008,-29.32,-22.19,-28.0,-7.13,-1.31,0.73,73.0,59.0
10,2009,32.61,21.77,24.13,10.84,8.48,0.76,62.0,8.0
11,2010,13.79,12.33,11.83,1.46,1.96,0.68,44.0,16.0
12,2011,-0.21,0.59,-0.11,-0.8,-0.1,0.66,55.0,50.0
13,2012,15.33,12.04,11.72,3.28,3.61,0.63,66.0,6.0
14,2013,18.09,14.31,16.48,3.79,1.62,0.59,58.0,38.0
15,YTD,6.7,5.81,6.95,0.89,-0.25,0.59,53.0,53.0
