,Year,TRRAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,23.75,22.48,13.67,1.27,10.08,10.08,13.0,1.0
1,2004,11.11,11.48,6.82,-0.37,4.29,4.29,4.29,7.0
2,2005,6.25,7.04,3.68,-0.79,2.58,2.58,6.0,1.0
3,2006,12.84,12.95,8.58,-0.12,4.26,4.26,11.0,7.0
4,2007,6.65,8.63,5.22,-1.98,1.43,1.43,13.0,21.0
5,2008,-26.71,-22.19,-22.46,-4.52,-4.25,-4.25,8.0,69.0
6,2009,27.95,21.77,22.42,6.17,5.53,5.53,27.0,9.0
7,2010,12.7,12.33,10.68,0.37,2.02,2.02,20.0,9.0
8,2011,0.54,0.59,0.91,-0.05,-0.36,-0.36,19.0,58.0
9,2012,12.44,12.04,9.61,0.4,2.83,2.83,23.0,4.0
10,2013,11.93,14.31,8.3,-2.38,3.63,3.63,16.0,6.0
11,YTD,6.12,5.81,4.98,0.31,1.14,1.14,19.0,13.0
