,Year,TRRBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,27.41,22.48,21.84,4.93,5.57,5.57,4.0,1.0
1,2004,12.82,11.48,9.61,1.34,3.21,3.21,24.0,1.0
2,2005,7.17,7.04,5.8,0.13,1.37,1.37,1.0,8.0
3,2006,14.66,12.95,11.95,1.7,2.7,2.7,12.0,8.0
4,2007,6.73,8.63,6.02,-1.9,0.71,0.71,8.0,46.0
5,2008,-33.48,-22.19,-29.46,-11.29,-4.02,-4.02,7.0,67.0
6,2009,34.19,21.77,24.25,12.42,9.94,9.94,18.0,4.0
7,2010,14.74,12.33,12.27,2.4,2.47,2.47,14.0,2.0
8,2011,-1.2,0.59,-0.22,-1.79,-0.98,-0.98,16.0,62.0
9,2012,15.01,12.04,11.68,2.97,3.32,3.32,22.0,1.0
10,2013,18.05,14.31,11.57,3.75,6.49,6.49,14.0,3.0
11,YTD,6.87,5.81,5.64,1.06,1.22,1.22,14.0,13.0
