,Year,TRRCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,29.98,22.48,23.89,7.5,6.1,6.1,3.0,1.0
1,2004,14.15,11.48,10.95,2.67,3.2,3.2,3.2,1.0
2,2005,8.12,7.04,6.81,1.07,1.31,1.31,1.0,6.0
3,2006,16.14,12.95,13.6,3.18,2.54,2.54,12.0,11.0
4,2007,6.83,8.63,6.5,-1.8,0.33,0.33,8.0,47.0
5,2008,-37.79,-22.19,-36.04,-15.6,-1.75,-1.75,6.0,64.0
6,2009,37.99,21.77,28.87,16.22,9.12,9.12,12.0,1.0
7,2010,16.01,12.33,13.47,3.68,2.54,2.54,8.0,7.0
8,2011,-2.7,0.59,-2.26,-3.3,-0.45,-0.45,16.0,54.0
9,2012,16.82,12.04,13.59,4.78,3.23,3.23,22.0,2.0
10,2013,23.09,14.31,16.65,8.79,6.44,6.44,13.0,4.0
11,YTD,7.39,5.81,6.17,1.58,1.22,1.22,12.0,18.0
