,Year,TRRDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,29.99,22.48,26.65,7.51,3.34,3.34,19.0,7.0
1,2004,14.11,11.48,11.71,2.63,2.39,2.39,2.39,1.0
2,2005,8.14,7.04,7.41,1.1,0.73,0.73,1.0,18.0
3,2006,16.24,12.95,14.67,3.29,1.57,1.57,11.0,25.0
4,2007,6.77,8.63,6.21,-1.86,0.56,0.56,8.0,41.0
5,2008,-38.85,-22.19,-37.94,-16.66,-0.91,-0.91,7.0,63.0
6,2009,39.07,21.77,30.9,17.3,8.17,8.17,10.0,3.0
7,2010,16.51,12.33,14.37,4.18,2.14,2.14,7.0,9.0
8,2011,-3.49,0.59,-3.49,-4.08,0.01,0.01,16.0,39.0
9,2012,17.55,12.04,14.64,5.5,2.91,2.91,22.0,3.0
10,2013,25.93,14.31,19.97,11.62,5.95,5.95,13.0,4.0
11,YTD,7.6,5.81,6.5,1.8,1.11,1.11,13.0,25.0
