,Year,TRREX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.23,24.93,-2.76,-26.17,1.53,1.0,27.0,27.0
1,2000,31.92,-13.18,27.02,45.1,4.91,1.0,19.0,13.0
2,2001,8.87,-16.82,10.0,25.69,-1.13,1.0,37.0,45.0
3,2002,5.38,-19.89,4.54,25.26,0.84,1.0,10.0,34.0
4,2003,34.84,33.11,36.8,1.74,-1.96,1.0,1.0,67.0
5,2004,36.82,14.72,32.02,22.09,4.8,0.9,0.9,13.0
6,2005,14.54,9.49,11.51,5.06,3.03,0.85,18.0,27.0
7,2006,36.75,20.07,33.58,16.68,3.17,0.78,25.0,20.0
8,2007,-18.8,9.04,-14.66,-27.84,-4.14,0.73,33.0,82.0
9,2008,-39.08,-40.71,-39.55,1.64,0.48,0.75,15.0,55.0
10,2009,31.65,29.99,31.26,1.66,0.39,0.77,20.0,26.0
11,2010,29.89,11.76,27.08,18.13,2.81,0.76,13.0,16.0
12,2011,7.32,-5.54,7.51,12.86,-0.19,0.78,5.0,59.0
13,2012,17.03,15.83,17.6,1.2,-0.57,0.78,6.0,43.0
14,2013,3.28,26.68,1.55,-23.4,1.73,0.79,4.0,14.0
15,YTD,27.15,6.66,25.93,20.49,1.22,1.22,1.22,47.0
