,Year,TRRGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,6.69,7.04,4.64,-0.35,2.05,2.05,2.0,4.0
1,2006,13.73,12.95,11.13,0.77,2.6,2.6,11.0,24.0
2,2007,6.75,8.63,5.84,-1.88,0.91,0.91,10.0,35.0
3,2008,-30.22,-22.19,-27.76,-8.02,-2.46,-2.46,8.0,62.0
4,2009,31.35,21.77,23.55,9.58,7.8,7.8,24.0,5.0
5,2010,13.79,12.33,11.5,1.46,2.29,2.29,15.0,7.0
6,2011,-0.32,0.59,-0.27,-0.91,-0.04,-0.04,15.0,49.0
7,2012,13.81,12.04,10.65,1.76,3.16,3.16,26.0,1.0
8,2013,15.18,14.31,9.65,0.87,5.53,5.53,14.0,3.0
9,YTD,6.49,5.81,5.38,0.69,1.11,1.11,15.0,15.0
