,Year,TRRHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,7.42,7.04,6.59,0.38,0.84,0.84,2.0,6.0
1,2006,15.44,12.95,14.16,2.48,1.27,1.27,13.0,34.0
2,2007,6.81,8.63,6.52,-1.82,0.3,0.3,9.0,52.0
3,2008,-35.9,-22.19,-34.15,-13.71,-1.75,-1.75,6.0,74.0
4,2009,36.29,21.77,28.32,14.51,7.97,7.97,17.0,1.0
5,2010,15.37,12.33,13.29,3.04,2.09,2.09,11.0,4.0
6,2011,-2.06,0.59,-2.06,-2.65,-0.0,-0.0,17.0,51.0
7,2012,16.0,12.04,13.03,3.96,2.98,2.98,26.0,1.0
8,2013,20.78,14.31,15.3,6.47,5.48,5.48,13.0,5.0
9,YTD,7.15,5.81,6.13,1.35,1.03,1.03,12.0,20.0
