,Year,TRRIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,16.26,22.48,12.34,-6.22,3.91,3.91,6.0,6.0
1,2004,7.66,11.48,5.46,-3.82,2.2,2.2,2.2,27.0
2,2005,4.87,7.04,2.97,-2.18,1.9,1.9,21.0,2.0
3,2006,9.98,12.95,8.16,-2.97,1.82,1.82,10.0,9.0
4,2007,6.09,8.63,4.53,-2.54,1.56,1.56,36.0,15.0
5,2008,-18.39,-22.19,-18.61,3.8,0.22,0.22,8.0,61.0
6,2009,22.07,21.77,20.77,0.29,1.3,1.3,32.0,22.0
7,2010,10.1,12.33,10.03,-2.24,0.06,0.06,14.0,26.0
8,2011,1.43,0.59,1.7,0.83,-0.28,-0.28,12.0,52.0
9,2012,10.05,12.04,9.4,-1.99,0.66,0.66,21.0,31.0
10,2013,9.15,14.31,7.23,-5.15,1.92,1.92,14.0,32.0
11,YTD,5.07,5.81,4.98,-0.74,0.09,0.09,13.0,45.0
