,Year,TRRJX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,8.05,7.04,7.35,1.0,0.7,0.7,6.0,11.0
1,2006,16.18,12.95,14.55,3.23,1.64,1.64,11.0,20.0
2,2007,6.81,8.63,7.02,-1.82,-0.21,-0.21,8.0,53.0
3,2008,-38.88,-22.19,-37.04,-16.68,-1.83,-1.83,5.0,73.0
4,2009,39.04,21.77,30.06,17.27,8.98,8.98,11.0,1.0
5,2010,16.34,12.33,14.28,4.01,2.06,2.06,7.0,4.0
6,2011,-3.26,0.59,-3.51,-3.85,0.25,0.25,17.0,44.0
7,2012,17.35,12.04,14.64,5.31,2.71,2.71,27.0,4.0
8,2013,24.86,14.31,20.0,10.55,4.86,4.86,12.0,4.0
9,YTD,7.43,5.81,6.47,1.63,0.96,0.96,12.0,24.0
