,Year,TRSGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.21,13.49,20.12,-2.28,-8.91,1.1,36.0,81.0
1,2000,4.7,1.68,-1.68,3.02,6.38,1.1,43.0,12.0
2,2001,-6.0,-2.46,-9.67,-3.53,3.67,1.1,55.0,25.0
3,2002,-12.37,-6.69,-14.51,-5.68,2.14,1.1,68.0,24.0
4,2003,29.27,22.48,25.1,6.79,4.16,1.0,53.0,9.0
5,2004,14.99,11.48,10.93,3.51,4.05,0.98,0.98,1.0
6,2005,7.64,7.04,7.35,0.6,0.29,0.99,52.0,33.0
7,2006,14.12,12.95,13.07,1.16,1.05,0.92,37.0,28.0
8,2007,7.84,8.63,7.43,-0.79,0.41,0.84,50.0,42.0
9,2008,-37.58,-22.19,-34.34,-15.39,-3.24,0.81,58.0,79.0
10,2009,37.47,21.77,29.37,15.7,8.11,0.87,56.0,8.0
11,2010,15.38,12.33,13.49,3.05,1.89,0.73,44.0,19.0
12,2011,-1.89,0.59,-3.8,-2.48,1.92,0.77,49.0,24.0
13,2012,17.62,12.04,13.42,5.58,4.2,0.73,51.0,3.0
14,2013,24.9,14.31,21.31,10.59,3.59,0.69,46.0,16.0
15,YTD,7.25,5.81,6.72,1.45,0.54,0.54,46.0,34.0
