,Year,TRVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,9.16,21.04,6.72,-11.88,2.44,0.92,68.0,47.0
1,2000,15.75,-9.1,7.87,24.85,7.88,0.91,56.0,53.0
2,2001,1.6,-11.89,-4.99,13.49,6.59,0.94,42.0,67.0
3,2002,-16.58,-22.1,-18.69,5.52,2.11,0.95,30.0,74.0
4,2003,30.0,28.68,28.44,1.32,1.57,0.97,0.97,33.0
5,2004,15.36,10.88,12.97,4.48,2.39,0.93,0.93,21.0
6,2005,6.3,4.91,5.95,1.39,0.35,0.9,19.0,41.0
7,2006,19.75,15.79,18.15,3.96,1.6,0.87,10.0,29.0
8,2007,0.75,5.49,1.42,-4.74,-0.67,0.84,19.0,58.0
9,2008,-39.76,-37.0,-37.09,-2.76,-2.67,0.89,20.0,72.0
10,2009,37.15,26.46,24.13,10.69,13.02,0.89,20.0,7.0
11,2010,15.96,15.06,13.66,0.9,2.3,0.85,30.0,20.0
12,2011,-2.0,2.11,-0.75,-4.11,-1.25,0.85,53.0,58.0
13,2012,19.46,16.0,14.57,3.46,4.89,0.85,56.0,6.0
14,2013,37.31,32.39,31.21,4.92,6.09,0.84,44.0,8.0
15,YTD,13.06,13.98,10.25,-0.92,2.81,2.81,2.81,12.0
