,Year,TXRAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,0.9,12.0,12.0
1,2006,1.96,4.84,2.95,-2.89,-1.0,0.9,1.0,100.0
2,2007,4.14,3.36,3.31,0.78,0.83,0.9,26.0,8.0
3,2008,-7.48,-2.47,0.86,-5.01,-8.35,0.76,7.0,91.0
4,2009,14.13,12.91,5.91,1.21,8.22,0.74,9.0,21.0
5,2010,1.54,2.38,1.61,-0.84,-0.07,0.74,16.0,73.0
6,2011,6.51,10.7,3.6,-4.19,2.92,0.75,14.0,97.0
7,2012,4.51,6.78,1.92,-2.27,2.59,0.75,8.0,70.0
8,2013,-3.06,-2.55,-0.07,-0.51,-2.99,0.75,16.0,74.0
9,YTD,1.91,8.5,1.6,-6.59,0.3,0.3,0.3,31.0
