,Year,UMESX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.65,24.93,30.64,2.72,-2.99,-2.99,-2.99,51.0
1,2000,42.56,-13.18,29.49,55.73,13.06,13.06,121.0,22.0
2,2001,-13.7,-16.82,-10.44,3.13,-3.25,1.2,57.0,74.0
3,2002,-10.14,-19.89,-0.8,9.75,-9.33,0.98,32.0,66.0
4,2003,32.81,33.11,32.76,-0.3,0.04,1.01,78.0,33.0
5,2004,34.27,14.72,27.47,19.55,6.81,0.99,0.99,20.0
6,2005,45.69,9.49,38.2,36.21,7.49,1.1,111.0,35.0
7,2006,11.34,20.07,10.53,-8.72,0.81,1.13,234.0,57.0
8,2007,36.25,9.04,37.12,27.22,-0.86,1.12,279.0,57.0
9,2008,-43.8,-40.71,-48.79,-3.09,4.99,1.07,198.0,17.0
10,2009,40.7,29.99,48.48,10.71,-7.78,0.99,484.0,66.0
11,2010,17.25,11.76,18.06,5.49,-0.81,0.96,523.0,52.0
12,2011,-10.92,-5.54,-13.97,-5.38,3.05,1.01,551.0,41.0
13,2012,1.47,15.83,4.34,-14.36,-2.87,1.09,14.0,54.0
14,2013,14.6,26.68,8.75,-12.08,5.85,1.07,73.0,28.0
15,YTD,-9.8,6.66,-10.45,-16.45,0.65,1.05,34.0,34.0
