,Year,UMLGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,47.47,21.04,38.87,26.43,8.6,8.6,4.0,25.0
1,2000,-19.73,-9.1,-13.05,-10.62,-6.68,1.01,16.0,78.0
2,2001,-31.91,-11.89,-22.3,-20.02,-9.61,1.01,20.0,85.0
3,2002,-37.34,-22.1,-27.64,-15.24,-9.7,1.0,9.0,94.0
4,2003,23.54,28.68,28.66,-5.15,-5.12,1.04,56.0,78.0
5,2004,14.73,10.88,7.81,3.85,6.92,1.05,1.05,5.0
6,2005,12.25,4.91,6.71,7.34,5.54,1.05,25.0,13.0
7,2006,7.87,15.79,7.05,-7.92,0.82,1.1,24.0,42.0
8,2007,21.3,5.49,13.35,15.81,7.95,1.2,33.0,14.0
9,2008,-44.11,-37.0,-40.67,-7.11,-3.44,1.16,39.0,79.0
10,2009,45.48,26.46,35.68,19.02,9.8,1.03,58.0,12.0
11,2010,24.36,15.06,15.53,9.3,8.83,1.01,27.0,3.0
12,2011,-3.21,2.11,-2.46,-5.32,-0.75,0.99,71.0,60.0
13,2012,15.31,16.0,15.34,-0.7,-0.03,0.86,53.0,48.0
14,2013,44.28,32.39,33.92,11.89,10.36,0.87,36.0,4.0
15,YTD,11.49,13.98,10.79,-2.48,0.71,0.85,53.0,42.0
