,Year,UMMGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.55,-0.82,-1.35,-1.73,-1.2,-1.2,-1.2,46.0
1,2000,12.47,11.63,9.44,0.85,3.04,0.88,112.0,8.0
2,2001,7.09,8.44,7.64,-1.35,-0.55,0.88,99.0,66.0
3,2002,9.44,10.26,8.04,-0.82,1.4,0.87,59.0,37.0
4,2003,4.63,4.1,5.1,0.53,-0.47,0.84,120.0,43.0
5,2004,4.67,4.34,3.91,0.33,0.76,0.87,0.87,22.0
6,2005,2.3,2.43,1.8,-0.13,0.49,0.9,90.0,23.0
7,2006,4.02,4.33,4.15,-0.32,-0.13,0.9,95.0,46.0
8,2007,5.98,6.97,4.7,-0.99,1.28,0.9,49.0,30.0
9,2008,1.43,5.24,-4.7,-3.81,6.13,0.9,49.0,28.0
10,2009,9.59,5.93,13.97,3.66,-4.39,0.66,209.0,72.0
11,2010,6.55,6.54,7.72,0.01,-1.16,0.57,256.0,70.0
12,2011,7.25,7.84,5.86,-0.6,1.38,0.55,178.0,21.0
13,2012,5.89,4.21,7.01,1.67,-1.12,0.55,10.0,63.0
14,2013,-3.17,-2.02,-1.42,-1.14,-1.74,0.65,221.0,92.0
15,YTD,5.53,5.87,5.34,-0.33,0.19,0.71,360.0,50.0
