,Year,USPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,102.13,30.63,95.04,71.5,7.09,7.09,78.0,42.0
1,2000,-40.13,-15.31,-34.33,-24.82,-5.81,1.49,104.0,71.0
2,2001,-14.7,-19.73,-17.22,5.03,2.52,1.5,75.0,30.0
3,2002,-8.19,-14.95,-12.31,6.76,4.13,1.43,50.0,13.0
4,2003,42.12,40.83,36.79,1.29,5.33,1.51,73.0,17.0
5,2004,13.51,20.91,16.79,-7.39,-3.28,1.45,1.45,95.0
6,2005,24.12,16.62,27.13,7.5,-3.01,1.5,90.0,45.0
7,2006,10.32,26.65,20.7,-16.33,-10.38,1.59,68.0,95.0
8,2007,11.49,16.65,18.15,-5.16,-6.66,1.61,92.0,82.0
9,2008,-40.3,-45.53,-42.21,5.23,1.91,1.57,68.0,58.0
10,2009,38.39,41.45,34.7,-3.06,3.69,1.65,111.0,28.0
11,2010,21.31,11.15,16.57,10.16,4.74,1.48,98.0,7.0
12,2011,-13.45,-13.71,-17.97,0.25,4.52,1.4,63.0,11.0
13,2012,17.32,16.83,20.4,0.49,-3.08,1.35,94.0,67.0
14,2013,9.99,15.29,13.85,-5.3,-3.86,1.28,78.0,78.0
15,YTD,4.01,-0.27,2.44,4.28,1.57,1.23,88.0,26.0
