,Year,VASGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,17.32,13.49,20.12,3.83,-2.8,-2.8,1.0,41.0
1,2000,-5.44,1.68,-1.68,-7.12,-3.76,-3.76,9.0,81.0
2,2001,-8.86,-2.46,-9.67,-6.39,0.81,0.81,7.0,55.0
3,2002,-15.84,-6.69,-14.51,-9.14,-1.32,-1.32,7.0,73.0
4,2003,28.52,22.48,25.1,6.04,3.42,3.42,3.42,15.0
5,2004,12.58,11.48,10.93,1.1,1.64,1.64,5.0,26.0
6,2005,6.88,7.04,7.35,-0.16,-0.47,-0.47,4.0,55.0
7,2006,16.13,12.95,13.07,3.17,3.06,3.06,3.0,10.0
8,2007,7.46,8.63,7.43,-1.18,0.02,0.02,4.0,47.0
9,2008,-34.39,-22.19,-34.34,-12.2,-0.06,-0.06,10.0,52.0
10,2009,24.99,21.77,29.37,3.22,-4.37,-4.37,12.0,80.0
11,2010,15.06,12.33,13.49,2.73,1.57,1.57,11.0,22.0
12,2011,-2.28,0.59,-3.8,-2.87,1.52,1.52,22.0,34.0
13,2012,14.38,12.04,13.42,2.33,0.96,0.96,10.0,37.0
14,2013,21.2,14.31,21.31,6.89,-0.11,-0.11,9.0,53.0
15,YTD,8.07,5.81,6.72,2.26,1.35,1.35,1.35,21.0
