,Year,VASIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.82,13.49,5.85,-10.67,-3.02,-3.02,11.0,80.0
1,2000,8.06,1.68,4.28,6.39,3.79,3.79,17.0,17.0
2,2001,4.06,-2.46,-0.39,6.53,4.45,4.45,4.0,9.0
3,2002,0.12,-6.69,-3.11,6.81,3.23,3.23,10.0,21.0
4,2003,10.77,22.48,12.34,-11.71,-1.57,-1.57,-1.57,66.0
5,2004,6.01,11.48,5.46,-5.47,0.55,0.55,4.0,49.0
6,2005,3.23,7.04,2.97,-3.81,0.26,0.26,6.0,53.0
7,2006,7.93,12.95,8.16,-5.02,-0.23,-0.23,14.0,49.0
8,2007,6.7,8.63,4.53,-1.93,2.17,2.17,8.0,16.0
9,2008,-10.53,-22.19,-18.61,11.67,8.08,8.08,22.0,11.0
10,2009,12.08,21.77,20.77,-9.69,-8.69,-8.69,27.0,92.0
11,2010,9.22,12.33,10.03,-3.11,-0.81,-0.81,9.0,66.0
12,2011,3.77,0.59,1.7,3.18,2.07,2.07,43.0,15.0
13,2012,6.54,12.04,9.4,-5.5,-2.85,-2.85,8.0,86.0
14,2013,3.4,14.31,7.23,-10.91,-3.83,-3.83,25.0,87.0
15,YTD,6.81,5.81,4.98,1.01,1.83,1.83,1.83,16.0
