,Year,VASVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.72,21.04,8.5,-23.76,-11.22,0.73,102.0,91.0
1,2000,17.45,-9.1,18.45,26.56,-0.99,0.63,40.0,49.0
2,2001,14.99,-11.89,6.67,26.88,8.33,0.7,67.0,21.0
3,2002,-9.79,-22.1,-13.25,12.31,3.46,0.74,50.0,29.0
4,2003,35.21,28.68,33.85,6.53,1.36,0.78,0.78,35.0
5,2004,20.38,10.88,17.85,9.5,2.53,0.6,0.6,33.0
6,2005,10.67,4.91,8.82,5.76,1.85,0.49,28.0,33.0
7,2006,19.11,15.79,15.87,3.32,3.24,0.44,37.0,19.0
8,2007,-0.23,5.49,0.83,-5.73,-1.06,0.4,33.0,62.0
9,2008,-35.49,-37.0,-36.77,1.51,1.28,0.38,23.0,36.0
10,2009,36.26,26.46,35.41,9.8,0.85,0.47,30.0,43.0
11,2010,19.44,15.06,21.92,4.38,-2.48,0.47,22.0,78.0
12,2011,0.82,2.11,-3.96,-1.29,4.78,0.45,25.0,16.0
13,2012,15.25,16.0,16.6,-0.76,-1.35,0.38,18.0,68.0
14,2013,42.04,32.39,35.14,9.65,6.9,0.43,27.0,8.0
15,YTD,5.89,13.98,8.68,-8.09,-2.79,-2.79,-2.79,80.0
