,Year,VBINX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.61,13.49,10.71,0.12,2.91,0.2,29.0,30.0
1,2000,-2.04,1.68,1.82,-3.72,-3.86,0.22,28.0,68.0
2,2001,-3.02,-2.46,-5.05,-0.55,2.04,0.22,33.0,28.0
3,2002,-9.52,-6.69,-12.02,-2.83,2.5,0.22,40.0,28.0
4,2003,19.87,22.48,20.35,-2.61,-0.48,0.22,0.22,49.0
5,2004,9.33,11.48,8.86,-2.15,0.47,0.2,0.2,42.0
6,2005,4.65,7.04,5.13,-2.39,-0.48,0.2,31.0,56.0
7,2006,11.02,12.95,11.29,-1.93,-0.27,0.2,33.0,53.0
8,2007,6.16,8.63,5.99,-2.47,0.17,0.19,26.0,49.0
9,2008,-22.21,-22.19,-28.0,-0.02,5.8,0.2,50.0,13.0
10,2009,20.05,21.77,24.13,-1.72,-4.08,0.25,55.0,77.0
11,2010,13.13,12.33,11.83,0.8,1.3,0.26,49.0,27.0
12,2011,4.14,0.59,-0.11,3.54,4.25,0.24,67.0,7.0
13,2012,11.33,12.04,11.72,-0.71,-0.39,0.24,43.0,65.0
14,2013,17.91,14.31,16.48,3.61,1.43,0.24,47.0,40.0
15,YTD,9.83,5.81,6.95,4.02,2.88,2.88,2.88,12.0
