,Year,VBISX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.08,-0.82,2.21,2.9,-0.13,0.2,108.0,57.0
1,2000,8.84,11.63,7.59,-2.78,1.25,0.21,74.0,19.0
2,2001,8.88,8.44,7.27,0.44,1.61,0.21,156.0,3.0
3,2002,6.1,10.26,5.47,-4.16,0.63,0.22,139.0,37.0
4,2003,3.37,4.1,2.54,-0.73,0.84,0.2,0.2,21.0
5,2004,1.7,4.34,1.63,-2.64,0.07,0.18,0.18,41.0
6,2005,1.31,2.43,1.45,-1.12,-0.14,0.18,106.0,59.0
7,2006,4.09,4.33,4.05,-0.24,0.04,0.18,106.0,44.0
8,2007,7.22,6.97,4.29,0.25,2.93,0.18,79.0,3.0
9,2008,5.43,5.24,-4.23,0.19,9.65,0.19,101.0,4.0
10,2009,4.28,5.93,9.3,-1.65,-5.03,0.22,77.0,85.0
11,2010,3.92,6.54,4.11,-2.63,-0.19,0.22,60.0,47.0
12,2011,2.96,7.84,1.66,-4.88,1.3,0.22,67.0,13.0
13,2012,1.95,4.21,3.67,-2.27,-1.72,0.2,51.0,81.0
14,2013,0.07,-2.02,0.45,2.09,-0.39,0.2,50.0,64.0
15,YTD,1.51,5.87,1.45,-4.36,0.06,0.06,0.06,39.0
