,Year,VBLTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-7.85,-0.82,-2.73,-7.03,-5.12,0.2,61.0,95.0
1,2000,16.63,11.63,9.36,5.01,7.28,0.21,56.0,1.0
2,2001,8.17,8.44,7.85,-0.27,0.32,0.21,107.0,30.0
3,2002,14.35,10.26,8.36,4.1,5.99,0.21,141.0,1.0
4,2003,5.5,4.1,8.79,1.4,-3.28,0.2,0.2,62.0
5,2004,8.4,4.34,6.47,4.06,1.93,0.18,0.18,22.0
6,2005,5.32,2.43,2.23,2.89,3.09,0.18,52.0,6.0
7,2006,2.67,4.33,4.43,-1.66,-1.76,0.18,55.0,92.0
8,2007,6.59,6.97,3.1,-0.37,3.49,0.18,62.0,32.0
9,2008,8.64,5.24,-3.72,3.4,12.36,0.19,67.0,12.0
10,2009,1.76,5.93,15.9,-4.17,-14.14,0.22,69.0,93.0
11,2010,10.27,6.54,11.43,3.73,-1.16,0.22,54.0,72.0
12,2011,22.05,7.84,11.47,14.21,10.58,0.22,45.0,4.0
13,2012,8.49,4.21,12.97,4.27,-4.48,0.2,41.0,82.0
14,2013,-9.13,-2.02,-5.31,-7.11,-3.82,0.2,50.0,100.0
15,YTD,17.88,5.87,10.87,12.02,7.01,7.01,7.01,9.0
