,Year,VBMFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.76,-0.82,-1.35,0.06,0.59,0.2,55.0,31.0
1,2000,11.39,11.63,9.44,-0.23,1.96,0.22,53.0,17.0
2,2001,8.43,8.44,7.64,-0.02,0.78,0.22,67.0,24.0
3,2002,8.26,10.26,8.04,-2.0,0.22,0.22,75.0,56.0
4,2003,3.97,4.1,5.1,-0.13,-1.13,0.22,0.22,58.0
5,2004,4.24,4.34,3.91,-0.1,0.33,0.2,59.0,38.0
6,2005,2.4,2.43,1.8,-0.03,0.59,0.2,59.0,19.0
7,2006,4.27,4.33,4.15,-0.07,0.12,0.2,64.0,35.0
8,2007,6.92,6.97,4.7,-0.05,2.22,0.19,54.0,11.0
9,2008,5.05,5.24,-4.7,-0.19,9.75,0.2,61.0,10.0
10,2009,5.93,5.93,13.97,0.0,-8.04,0.22,80.0,90.0
11,2010,6.42,6.54,7.72,-0.12,-1.29,0.22,75.0,73.0
12,2011,7.56,7.84,5.86,-0.28,1.7,0.22,73.0,15.0
13,2012,4.05,4.21,7.01,-0.17,-2.96,0.2,80.0,84.0
14,2013,-2.26,-2.02,-1.42,-0.24,-0.84,0.2,73.0,72.0
15,YTD,5.66,5.87,5.34,-0.2,0.32,0.32,0.32,45.0
