,Year,VCITX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.1,-2.06,-4.6,-1.05,1.5,0.18,11.0,7.0
1,2000,15.18,11.68,12.79,3.49,2.39,0.18,27.0,3.0
2,2001,3.36,5.13,3.84,-1.76,-0.47,0.18,26.0,63.0
3,2002,9.44,9.6,8.03,-0.16,1.41,0.17,27.0,9.0
4,2003,4.92,5.31,4.27,-0.39,0.66,0.17,0.17,16.0
5,2004,4.19,4.48,4.37,-0.29,-0.18,0.15,0.15,50.0
6,2005,3.77,3.51,3.93,0.26,-0.15,0.16,10.0,43.0
7,2006,5.24,4.84,4.58,0.4,0.66,0.16,13.0,16.0
8,2007,1.57,3.36,0.71,-1.79,0.86,0.15,23.0,48.0
9,2008,-6.87,-2.47,-11.05,-4.4,4.18,0.15,27.0,30.0
10,2009,13.21,12.91,17.38,0.29,-4.18,0.2,18.0,78.0
11,2010,1.7,2.38,1.77,-0.68,-0.07,0.2,18.0,55.0
12,2011,11.49,10.7,11.74,0.79,-0.25,0.2,14.0,52.0
13,2012,8.92,6.78,10.42,2.14,-1.5,0.2,16.0,75.0
14,2013,-2.54,-2.55,-3.71,0.01,1.17,0.2,14.0,18.0
15,YTD,11.0,8.5,11.21,2.5,-0.21,-0.21,-0.21,48.0
