,Year,VEIPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.19,21.04,6.72,-21.23,-6.91,-6.91,18.0,77.0
1,2000,13.57,-9.1,7.87,22.68,5.71,0.43,36.0,22.0
2,2001,-2.34,-11.89,-4.99,9.54,2.64,0.47,31.0,32.0
3,2002,-15.65,-22.1,-18.69,6.45,3.04,0.46,21.0,26.0
4,2003,25.14,28.68,28.44,-3.55,-3.3,0.45,55.0,76.0
5,2004,13.57,10.88,12.97,2.69,0.61,0.32,0.32,40.0
6,2005,4.37,4.91,5.95,-0.54,-1.58,0.31,42.0,67.0
7,2006,20.62,15.79,18.15,4.83,2.47,0.31,26.0,19.0
8,2007,4.86,5.49,1.42,-0.64,3.43,0.29,51.0,25.0
9,2008,-30.95,-37.0,-37.09,6.04,6.14,0.3,55.0,11.0
10,2009,17.1,26.46,24.13,-9.36,-7.03,0.36,51.0,85.0
11,2010,14.88,15.06,13.66,-0.18,1.22,0.31,45.0,29.0
12,2011,10.6,2.11,-0.75,8.49,11.35,0.31,29.0,2.0
13,2012,13.49,16.0,14.57,-2.52,-1.08,0.3,26.0,67.0
14,2013,30.07,32.39,31.21,-2.32,-1.14,0.3,34.0,65.0
15,YTD,11.84,13.98,10.25,-2.13,1.59,0.29,33.0,27.0
