,Year,VEXPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,37.26,21.04,64.77,16.21,-27.51,0.74,79.0,70.0
1,2000,9.22,-9.1,-3.85,18.32,13.07,0.71,123.0,21.0
2,2001,0.56,-11.89,-8.91,12.45,9.47,0.72,77.0,26.0
3,2002,-24.58,-22.1,-27.88,-2.48,3.3,0.7,69.0,35.0
4,2003,44.25,28.68,45.54,15.57,-1.29,0.72,0.72,49.0
5,2004,13.75,10.88,12.41,2.87,1.34,0.57,0.57,44.0
6,2005,9.28,4.91,6.02,4.37,3.26,0.51,80.0,24.0
7,2006,9.7,15.79,10.81,-6.1,-1.12,0.46,96.0,55.0
8,2007,5.06,5.49,7.59,-0.43,-2.53,0.41,90.0,59.0
9,2008,-40.4,-37.0,-41.55,-3.4,1.15,0.44,112.0,43.0
10,2009,36.21,26.46,35.46,9.74,0.75,0.54,95.0,44.0
11,2010,27.43,15.06,26.98,12.37,0.45,0.49,82.0,46.0
12,2011,-1.89,2.11,-3.55,-4.0,1.67,0.5,89.0,37.0
13,2012,14.89,16.0,13.15,-1.12,1.74,0.49,59.0,33.0
14,2013,44.36,32.39,40.91,11.97,3.45,0.5,65.0,30.0
15,YTD,2.72,13.98,0.47,-11.26,2.25,2.25,2.25,32.0
