,Year,VFICX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.53,-0.82,-3.43,-0.71,1.89,1.89,71.0,14.0
1,2000,10.7,11.63,7.91,-0.93,2.79,0.25,67.0,13.0
2,2001,9.42,8.44,9.11,0.98,0.31,0.22,85.0,35.0
3,2002,10.28,10.26,8.86,0.02,1.42,0.21,118.0,34.0
4,2003,6.29,4.1,9.34,2.18,-3.05,0.2,84.0,81.0
5,2004,4.75,4.34,5.79,0.41,-1.04,0.2,0.2,74.0
6,2005,1.97,2.43,1.94,-0.46,0.03,0.2,40.0,41.0
7,2006,4.43,4.33,4.36,0.1,0.07,0.21,51.0,46.0
8,2007,6.14,6.97,4.17,-0.83,1.97,0.21,43.0,12.0
9,2008,-6.16,5.24,-7.9,-11.4,1.74,0.21,48.0,32.0
10,2009,17.73,5.93,22.61,11.8,-4.89,0.21,48.0,78.0
11,2010,10.46,6.54,10.0,3.91,0.46,0.24,69.0,49.0
12,2011,7.51,7.84,7.46,-0.33,0.05,0.22,39.0,37.0
13,2012,9.13,4.21,11.06,4.92,-1.93,0.2,49.0,82.0
14,2013,-1.37,-2.02,-1.06,0.65,-0.31,0.2,62.0,72.0
15,YTD,6.08,5.87,7.18,0.21,-1.1,0.2,100.0,62.0
