,Year,VFIIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.78,-0.82,-1.35,1.6,2.12,2.12,7.0,12.0
1,2000,11.22,11.63,10.86,-0.41,0.36,0.27,5.0,38.0
2,2001,7.94,8.44,6.81,-0.5,1.14,0.27,8.0,9.0
3,2002,9.68,10.26,9.23,-0.57,0.46,0.25,8.0,32.0
4,2003,2.49,4.1,1.9,-1.61,0.59,0.22,17.0,18.0
5,2004,4.13,4.34,3.01,-0.21,1.12,0.2,0.2,10.0
6,2005,3.33,2.43,1.91,0.9,1.43,0.2,53.0,2.0
7,2006,4.33,4.33,3.47,-0.01,0.86,0.21,38.0,14.0
8,2007,7.01,6.97,6.09,0.04,0.92,0.21,18.0,22.0
9,2008,7.22,5.24,4.76,1.98,2.46,0.21,21.0,37.0
10,2009,5.29,5.93,4.74,-0.64,0.54,0.22,63.0,39.0
11,2010,6.94,6.54,5.66,0.4,1.29,0.23,272.0,19.0
12,2011,7.68,7.84,6.7,-0.16,0.99,0.23,386.0,22.0
13,2012,2.35,4.21,2.8,-1.87,-0.45,0.21,189.0,59.0
14,2013,-2.23,-2.02,-2.72,-0.2,0.49,0.21,130.0,32.0
15,YTD,6.46,5.87,4.77,0.6,1.69,0.21,167.0,3.0
