,Year,VFINX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.07,21.04,20.16,0.03,0.91,0.18,6.0,37.0
1,2000,-9.06,-9.1,-6.31,0.05,-2.75,0.18,9.0,53.0
2,2001,-12.02,-11.89,-13.5,-0.14,1.48,0.18,4.0,37.0
3,2002,-22.15,-22.1,-22.25,-0.04,0.11,0.18,7.0,41.0
4,2003,28.5,28.68,27.05,-0.18,1.46,0.18,0.18,28.0
5,2004,10.74,10.88,10.02,-0.14,0.72,0.18,0.18,36.0
6,2005,4.77,4.91,5.88,-0.14,-1.1,0.18,7.0,60.0
7,2006,15.64,15.79,14.17,-0.15,1.47,0.18,5.0,24.0
8,2007,5.39,5.49,6.16,-0.11,-0.77,0.15,5.0,51.0
9,2008,-37.02,-37.0,-37.79,-0.02,0.77,0.16,6.0,38.0
10,2009,26.49,26.46,28.17,0.02,-1.68,0.18,12.0,54.0
11,2010,14.91,15.06,14.01,-0.15,0.91,0.17,5.0,31.0
12,2011,1.97,2.11,-1.27,-0.15,3.24,0.17,4.0,19.0
13,2012,15.82,16.0,14.96,-0.18,0.86,0.17,3.0,38.0
14,2013,32.18,32.39,31.5,-0.21,0.67,0.17,3.0,44.0
15,YTD,13.81,13.98,11.28,-0.17,2.53,2.53,2.53,19.0
