,Year,VFISX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.85,-0.82,1.49,2.67,0.36,0.36,132.0,43.0
1,2000,8.83,11.63,8.3,-2.79,0.53,0.27,124.0,36.0
2,2001,7.8,8.44,7.26,-0.65,0.54,0.27,296.0,23.0
3,2002,8.02,10.26,6.85,-2.23,1.17,0.29,102.0,27.0
4,2003,2.38,4.1,1.45,-1.72,0.93,0.28,165.0,7.0
5,2004,1.03,4.34,1.46,-3.31,-0.43,0.26,0.26,62.0
6,2005,1.77,2.43,1.26,-0.66,0.51,0.24,108.0,18.0
7,2006,3.77,4.33,3.67,-0.57,0.09,0.26,93.0,43.0
8,2007,7.89,6.97,5.87,0.92,2.02,0.26,114.0,6.0
9,2008,6.68,5.24,4.8,1.44,1.88,0.22,120.0,27.0
10,2009,1.44,5.93,3.29,-4.49,-1.85,0.21,156.0,74.0
11,2010,2.63,6.54,3.04,-3.91,-0.41,0.22,130.0,53.0
12,2011,2.26,7.84,2.09,-5.58,0.17,0.22,124.0,36.0
13,2012,0.69,4.21,1.06,-3.52,-0.36,0.2,302.0,63.0
14,2013,-0.1,-2.02,-0.79,1.93,0.69,0.2,176.0,14.0
15,YTD,0.96,5.87,1.2,-4.91,-0.24,0.2,80.0,52.0
