,Year,VGENX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.98,24.93,32.83,-3.96,-11.85,-11.85,19.0,73.0
1,2000,36.43,-13.18,45.89,49.61,-9.45,0.47,18.0,55.0
2,2001,-2.55,-16.82,-13.13,14.28,10.58,0.41,24.0,5.0
3,2002,-0.62,-19.89,-11.49,19.27,10.87,0.39,28.0,17.0
4,2003,33.8,33.11,32.28,0.69,1.52,0.4,23.0,31.0
5,2004,36.65,14.72,33.42,21.93,3.22,0.38,0.38,29.0
6,2005,44.6,9.49,46.33,35.11,-1.74,0.31,1.0,63.0
7,2006,19.68,20.07,12.05,-0.39,7.62,0.28,10.0,7.0
8,2007,37.0,9.04,42.09,27.96,-5.09,0.25,22.0,74.0
9,2008,-42.87,-40.71,-51.12,-2.16,8.25,0.25,22.0,6.0
10,2009,38.36,29.99,44.36,8.37,-6.0,0.28,21.0,68.0
11,2010,13.43,11.76,17.14,1.67,-3.71,0.38,27.0,84.0
12,2011,-1.74,-5.54,-7.54,3.8,5.8,0.34,31.0,25.0
13,2012,2.67,15.83,1.21,-13.16,1.46,0.34,24.0,36.0
14,2013,18.14,26.68,22.85,-8.54,-4.71,0.31,18.0,74.0
15,YTD,-11.42,6.66,-13.55,-18.08,2.13,0.38,17.0,36.0
