,Year,VGSTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.13,13.49,10.71,-6.36,-3.57,-3.57,10.0,70.0
1,2000,10.96,1.68,1.82,9.28,9.13,9.13,17.0,9.0
2,2001,0.5,-2.46,-5.05,2.97,5.55,5.55,6.0,14.0
3,2002,-9.87,-6.69,-12.02,-3.17,2.16,2.16,12.0,31.0
4,2003,22.7,22.48,20.35,0.23,2.36,2.36,2.36,27.0
5,2004,11.6,11.48,8.86,0.12,2.74,2.74,6.0,14.0
6,2005,7.44,7.04,5.13,0.4,2.31,2.31,6.0,13.0
7,2006,11.65,12.95,11.29,-1.3,0.36,0.36,9.0,39.0
8,2007,6.58,8.63,5.99,-2.05,0.59,0.59,8.0,42.0
9,2008,-25.1,-22.19,-28.0,-2.9,2.91,2.91,24.0,23.0
10,2009,24.85,21.77,24.13,3.07,0.72,0.72,21.0,43.0
11,2010,11.7,12.33,11.83,-0.64,-0.14,-0.14,22.0,55.0
12,2011,0.77,0.59,-0.11,0.18,0.88,0.88,24.0,37.0
13,2012,13.79,12.04,11.72,1.75,2.07,2.07,12.0,17.0
14,2013,17.8,14.31,16.48,3.49,1.32,1.32,9.0,41.0
15,YTD,8.29,5.81,6.95,2.49,1.34,1.34,1.34,33.0
