,Year,VGTSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.92,30.63,40.28,-0.71,-10.36,-10.36,1.0,67.0
1,2000,-15.61,-15.31,-16.34,-0.3,0.72,0.72,3.0,42.0
2,2001,-20.15,-19.73,-21.67,-0.42,1.52,1.52,2.0,37.0
3,2002,-15.08,-14.95,-16.69,-0.14,1.61,1.61,5.0,32.0
4,2003,40.34,40.83,33.58,-0.49,6.76,6.76,6.76,10.0
5,2004,20.84,20.91,17.39,-0.07,3.45,3.45,3.0,11.0
6,2005,15.57,16.62,14.72,-1.05,0.85,0.85,3.0,34.0
7,2006,26.64,26.65,24.77,-0.02,1.87,1.87,2.0,27.0
8,2007,15.52,16.65,12.71,-1.13,2.81,2.81,2.0,24.0
9,2008,-44.1,-45.53,-43.99,1.42,-0.11,0.03,15.0,52.0
10,2009,36.73,41.45,31.24,-4.72,5.48,0.27,12.0,21.0
11,2010,11.12,11.15,10.24,-0.03,0.89,0.26,6.0,40.0
12,2011,-14.56,-13.71,-13.97,-0.86,-0.6,0.22,3.0,61.0
13,2012,18.14,16.83,18.29,1.31,-0.15,0.22,3.0,51.0
14,2013,15.04,15.29,19.44,-0.24,-4.39,0.22,5.0,84.0
15,YTD,-0.61,-0.27,-1.63,-0.34,1.03,1.03,1.03,31.0
