,Year,VHIAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,-49.12,-9.1,-13.05,-40.01,-36.07,1.16,147.0,98.0
1,2001,-28.3,-11.89,-22.3,-16.41,-6.0,-6.0,-6.0,74.0
2,2002,-29.45,-22.1,-27.64,-7.35,-1.8,1.35,39.0,62.0
3,2003,37.54,28.68,28.66,8.85,8.88,1.35,1.35,37.0
4,2004,16.9,10.88,7.81,6.02,9.1,1.35,1.35,23.0
5,2005,10.63,4.91,6.71,5.72,3.91,1.35,140.0,45.0
6,2006,14.33,15.79,7.05,-1.46,7.28,1.35,81.0,13.0
7,2007,25.07,5.49,13.35,19.57,11.71,1.36,159.0,11.0
8,2008,-41.96,-37.0,-40.67,-4.96,-1.29,1.34,118.0,38.0
9,2009,36.62,26.46,35.68,10.16,0.94,1.35,119.0,63.0
10,2010,21.11,15.06,15.53,6.05,5.58,1.31,102.0,10.0
11,2011,-1.72,2.11,-2.46,-3.83,0.74,1.25,96.0,47.0
12,2012,15.88,16.0,15.34,-0.12,0.54,1.25,86.0,40.0
13,2013,44.36,32.39,33.92,11.97,10.44,1.24,76.0,4.0
14,YTD,9.99,13.98,10.79,-3.98,-0.8,1.24,62.0,62.0
