,Year,VINIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.17,21.04,20.16,0.12,1.01,0.06,14.0,36.0
1,2000,-8.94,-9.1,-6.31,0.16,-2.64,0.06,11.0,52.0
2,2001,-11.93,-11.89,-13.5,-0.04,1.57,0.05,8.0,36.0
3,2002,-22.03,-22.1,-22.25,0.07,0.22,0.05,10.0,39.0
4,2003,28.66,28.68,27.05,-0.02,1.62,0.05,0.05,26.0
5,2004,10.86,10.88,10.02,-0.02,0.84,0.05,0.05,34.0
6,2005,4.91,4.91,5.88,-0.0,-0.97,0.05,9.0,57.0
7,2006,15.78,15.79,14.17,-0.01,1.62,0.05,8.0,21.0
8,2007,5.47,5.49,6.16,-0.02,-0.69,0.05,7.0,49.0
9,2008,-36.95,-37.0,-37.79,0.04,0.84,0.05,7.0,37.0
10,2009,26.63,26.46,28.17,0.17,-1.54,0.05,11.0,52.0
11,2010,15.05,15.06,14.01,-0.02,1.04,0.05,4.0,29.0
12,2011,2.09,2.11,-1.27,-0.02,3.36,0.04,5.0,17.0
13,2012,15.98,16.0,14.96,-0.02,1.02,0.04,5.0,35.0
14,2013,32.35,32.39,31.5,-0.04,0.85,0.04,5.0,42.0
15,YTD,13.95,13.98,11.28,-0.03,2.67,2.67,2.67,17.0
