,Year,VIPSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,7.61,8.44,7.27,-0.83,0.34,0.25,122.0,58.0
1,2002,16.61,10.26,14.81,6.35,1.8,0.25,75.0,14.0
2,2003,8.0,4.1,7.15,3.9,0.86,0.22,108.0,30.0
3,2004,8.27,4.34,7.48,3.93,0.8,0.18,0.18,22.0
4,2005,2.59,2.43,2.09,0.16,0.5,0.17,73.0,22.0
5,2006,0.43,4.33,0.09,-3.91,0.33,0.2,47.0,21.0
6,2007,11.59,6.97,9.86,4.63,1.73,0.2,53.0,10.0
7,2008,-2.85,5.24,-4.08,-8.09,1.24,0.2,28.0,57.0
8,2009,10.8,5.93,10.88,4.87,-0.08,0.25,14.0,35.0
9,2010,6.17,6.54,5.94,-0.38,0.22,0.22,29.0,37.0
10,2011,13.24,7.84,10.93,5.39,2.31,0.2,28.0,10.0
11,2012,6.78,4.21,6.45,2.56,0.32,0.2,33.0,28.0
12,2013,-8.92,-2.02,-7.85,-6.89,-1.06,0.2,44.0,56.0
13,YTD,4.78,5.87,3.23,-1.09,1.54,1.54,1.54,13.0
