,Year,VMNIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.58,-0.82,-2.6,8.4,10.18,10.18,10.18,6.0
1,2000,-9.74,11.63,2.11,-21.37,-11.85,-11.85,368.0,92.0
2,2001,11.18,8.44,7.29,2.74,3.89,2.12,399.0,17.0
3,2002,15.78,10.26,8.82,5.53,6.97,1.95,186.0,17.0
4,2003,-7.24,4.1,0.37,-11.34,-7.61,2.67,186.0,93.0
5,2004,4.19,4.34,2.72,-0.15,1.47,2.82,189.0,15.0
6,2005,10.05,2.43,2.88,7.62,7.17,2.94,180.0,1.0
7,2006,6.75,4.33,4.78,2.41,1.96,1.24,213.0,22.0
8,2007,13.17,6.97,2.03,6.21,11.14,2.67,169.0,1.0
9,2008,-8.27,5.24,-0.33,-13.51,-7.94,2.56,214.0,97.0
10,2009,-11.31,5.93,-1.18,-17.24,-10.12,0.32,142.0,95.0
11,2010,-0.93,6.54,-2.0,-7.47,1.06,1.74,153.0,37.0
12,2011,7.94,7.84,-0.3,0.1,8.24,0.15,91.0,1.0
13,2012,-1.39,4.21,0.18,-5.61,-1.57,0.15,89.0,71.0
14,2013,8.66,-2.02,2.92,10.68,5.73,0.15,68.0,7.0
15,YTD,4.65,5.87,0.85,-1.22,3.8,3.8,3.8,15.0
