,Year,VMRGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.1,21.04,38.87,13.06,-4.77,-4.77,65.0,9.0
1,2000,-12.51,-9.1,-13.05,-3.41,0.54,0.4,94.0,86.0
2,2001,-13.6,-11.89,-22.3,-1.72,8.7,0.41,53.0,61.0
3,2002,-23.52,-22.1,-27.64,-1.42,4.13,0.48,104.0,24.0
4,2003,33.73,28.68,28.66,5.05,5.07,0.5,91.0,16.0
5,2004,10.47,10.88,7.81,-0.41,2.66,0.44,0.44,26.0
6,2005,9.09,4.91,6.71,4.18,2.38,0.39,88.0,28.0
7,2006,11.09,15.79,7.05,-4.7,4.04,0.41,90.0,16.0
8,2007,11.22,5.49,13.35,5.72,-2.14,0.37,79.0,62.0
9,2008,-41.43,-37.0,-40.67,-4.43,-0.76,0.38,88.0,58.0
10,2009,36.1,26.46,35.68,9.63,0.41,0.48,87.0,40.0
11,2010,18.7,15.06,15.53,3.64,3.17,0.43,60.0,23.0
12,2011,-2.56,2.11,-2.46,-4.67,-0.09,0.41,55.0,55.0
13,2012,15.09,16.0,15.34,-0.91,-0.25,0.4,49.0,50.0
14,2013,34.76,32.39,33.92,2.38,0.85,0.39,53.0,40.0
15,YTD,12.03,13.98,10.79,-1.95,1.24,0.4,52.0,36.0
