,Year,VPCCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,12.08,4.91,6.71,7.17,5.37,0.72,6.0,4.0
1,2006,12.31,15.79,7.05,-3.48,5.26,0.6,5.0,12.0
2,2007,7.04,5.49,13.35,1.55,-6.31,0.55,10.0,81.0
3,2008,-31.32,-37.0,-40.67,5.68,9.35,0.5,9.0,3.0
4,2009,36.96,26.46,35.68,10.49,1.28,0.54,5.0,37.0
5,2010,14.88,15.06,15.53,-0.18,-0.65,0.51,8.0,54.0
6,2011,-0.86,2.11,-2.46,-2.97,1.6,0.51,9.0,37.0
7,2012,14.57,16.0,15.34,-1.43,-0.77,0.5,10.0,55.0
8,2013,36.14,32.39,33.92,3.75,2.22,0.5,7.0,26.0
9,YTD,19.65,13.98,10.79,5.67,8.86,0.5,13.0,1.0
