,Year,VSBPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,7.5,4.91,5.88,2.59,1.63,1.63,1.63,27.0
1,2006,16.33,15.79,14.17,0.53,2.16,2.16,2.16,16.0
2,2007,3.6,5.49,6.16,-1.89,-2.56,0.15,66.0,76.0
3,2008,-38.33,-37.0,-37.79,-1.33,-0.54,0.12,70.0,61.0
4,2009,25.29,26.46,28.17,-1.18,-2.88,0.17,62.0,66.0
5,2010,15.71,15.06,14.01,0.65,1.7,0.17,52.0,22.0
6,2011,4.45,2.11,-1.27,2.33,5.72,0.17,56.0,8.0
7,2012,17.28,16.0,14.96,1.28,2.32,0.17,58.0,17.0
8,2013,36.45,32.39,31.5,4.06,4.95,0.17,63.0,13.0
9,YTD,14.55,13.98,11.28,0.58,3.27,0.17,60.0,11.0
