,Year,VSCGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.86,13.49,5.85,-5.63,2.02,2.02,5.0,29.0
1,2000,3.12,1.68,4.28,1.44,-1.16,-1.16,9.0,58.0
2,2001,-0.08,-2.46,-0.39,2.38,0.3,0.3,14.0,51.0
3,2002,-5.36,-6.69,-3.11,1.33,-2.25,-2.25,12.0,71.0
4,2003,16.57,22.48,12.34,-5.91,4.23,4.23,4.23,20.0
5,2004,8.02,11.48,5.46,-3.46,2.56,2.56,5.0,13.0
6,2005,4.45,7.04,2.97,-2.59,1.49,1.49,7.0,18.0
7,2006,10.62,12.95,8.16,-2.33,2.46,2.46,4.0,12.0
8,2007,6.99,8.63,4.53,-1.64,2.46,2.46,10.0,13.0
9,2008,-19.52,-22.19,-18.61,2.67,-0.91,-0.91,22.0,54.0
10,2009,17.06,21.77,20.77,-4.72,-3.71,-3.71,29.0,75.0
11,2010,11.14,12.33,10.03,-1.19,1.11,1.11,15.0,32.0
12,2011,1.76,0.59,1.7,1.17,0.05,0.05,46.0,48.0
13,2012,9.19,12.04,9.4,-2.85,-0.21,-0.21,15.0,57.0
14,2013,9.08,14.31,7.23,-5.23,1.85,1.85,19.0,33.0
15,YTD,7.28,5.81,4.98,1.48,2.3,2.3,2.3,13.0
