,Year,VSGBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.07,-0.82,1.49,2.89,0.59,0.59,107.0,58.0
1,2000,9.18,11.63,8.3,-2.45,0.88,0.27,93.0,14.0
2,2001,8.61,8.44,7.26,0.16,1.35,0.28,169.0,9.0
3,2002,7.61,10.26,6.85,-2.64,0.76,0.31,80.0,38.0
4,2003,1.99,4.1,1.45,-2.12,0.54,0.26,136.0,21.0
5,2004,1.36,4.34,1.46,-2.98,-0.1,0.22,0.22,43.0
6,2005,1.8,2.43,1.26,-0.63,0.55,0.2,49.0,15.0
7,2006,4.32,4.33,3.67,-0.01,0.65,0.2,51.0,14.0
8,2007,7.43,6.97,5.87,0.46,1.56,0.2,89.0,9.0
9,2008,7.04,5.24,4.8,1.8,2.24,0.2,70.0,23.0
10,2009,2.78,5.93,3.29,-3.15,-0.51,0.21,109.0,54.0
11,2010,3.24,6.54,3.04,-3.3,0.19,0.22,370.0,40.0
12,2011,2.76,7.84,2.09,-5.08,0.67,0.22,211.0,27.0
13,2012,1.43,4.21,1.06,-2.78,0.38,0.2,411.0,36.0
14,2013,-0.35,-2.02,-0.79,1.68,0.45,0.2,436.0,33.0
15,YTD,1.39,5.87,1.2,-4.48,0.19,0.2,418.0,38.0
