,Year,VSITX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.55,-2.06,-2.06,1.5,1.51,0.03,62.0,10.0
1,2000,8.56,11.68,9.16,-3.12,-0.6,0.57,60.0,63.0
2,2001,4.82,5.13,4.39,-0.31,0.42,0.42,43.0,27.0
3,2002,9.24,9.6,8.57,-0.37,0.66,0.66,71.0,27.0
4,2003,4.05,5.31,4.1,-1.26,-0.04,0.66,56.0,51.0
5,2004,2.43,4.48,2.83,-2.05,-0.4,0.66,0.66,64.0
6,2005,1.62,3.51,1.8,-1.9,-0.18,0.62,28.0,53.0
7,2006,3.76,4.84,3.67,-1.08,0.09,0.59,13.0,43.0
8,2007,3.76,3.36,2.75,0.4,1.01,0.59,19.0,16.0
9,2008,2.34,-2.47,-2.32,4.82,4.66,0.59,18.0,7.0
10,2009,7.33,12.91,11.41,-5.59,-4.08,0.59,15.0,88.0
11,2010,1.94,2.38,2.22,-0.44,-0.28,0.58,11.0,63.0
12,2011,7.99,10.7,9.0,-2.71,-1.01,0.58,12.0,71.0
13,2012,3.59,6.78,5.62,-3.19,-2.04,0.59,14.0,87.0
14,2013,-1.43,-2.55,-2.27,1.12,0.84,0.58,14.0,20.0
15,YTD,5.15,8.5,6.44,-3.35,-1.29,0.58,13.0,76.0
