,Year,VSMGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.01,13.49,10.71,-1.49,1.3,1.3,3.0,42.0
1,2000,-0.88,1.68,1.82,-2.56,-2.7,-2.7,12.0,60.0
2,2001,-4.48,-2.46,-5.05,-2.01,0.58,0.58,16.0,43.0
3,2002,-10.32,-6.69,-12.02,-3.63,1.7,0.01,15.0,36.0
4,2003,22.4,22.48,20.35,-0.08,2.05,2.05,2.05,29.0
5,2004,10.57,11.48,8.86,-0.91,1.71,1.71,6.0,25.0
6,2005,5.69,7.04,5.13,-1.36,0.56,0.56,8.0,37.0
7,2006,13.31,12.95,11.29,0.36,2.02,2.02,8.0,17.0
8,2007,7.36,8.63,5.99,-1.27,1.37,1.37,7.0,31.0
9,2008,-26.5,-22.19,-28.0,-4.3,1.51,1.51,18.0,35.0
10,2009,20.33,21.77,24.13,-1.44,-3.8,-3.8,25.0,74.0
11,2010,13.31,12.33,11.83,0.98,1.48,1.48,17.0,24.0
12,2011,0.26,0.59,-0.11,-0.33,0.37,0.37,32.0,45.0
13,2012,11.76,12.04,11.72,-0.28,0.05,0.05,15.0,56.0
14,2013,15.04,14.31,16.48,0.74,-1.43,-1.43,15.0,68.0
15,YTD,7.7,5.81,6.95,1.9,0.75,0.75,0.75,38.0
