,Year,VSNGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.06,21.04,60.49,4.02,-35.43,0.07,101.0,84.0
1,2000,14.71,-9.1,-4.78,23.81,19.48,0.41,84.0,13.0
2,2001,-3.96,-11.89,-19.98,7.93,16.02,16.02,55.0,11.0
3,2002,-13.4,-22.1,-27.24,8.7,13.84,0.77,84.0,2.0
4,2003,32.29,28.68,35.96,3.6,-3.67,0.9,0.9,68.0
5,2004,19.36,10.88,13.23,8.48,6.14,0.9,0.9,22.0
6,2005,9.6,4.91,9.84,4.68,-0.24,0.9,99.0,49.0
7,2006,14.27,15.79,9.0,-1.52,5.27,0.9,41.0,41.0
8,2007,9.81,5.49,15.09,4.31,-5.28,0.9,82.0,19.0
9,2008,-38.51,-37.0,-43.77,-1.51,5.27,0.91,79.0,50.0
10,2009,34.18,26.46,39.11,7.71,-4.93,0.9,107.0,53.0
11,2010,24.02,15.06,24.61,8.95,-0.6,0.89,56.0,45.0
12,2011,-1.8,2.11,-3.96,-3.92,2.16,0.89,88.0,29.0
13,2012,18.1,16.0,14.07,2.1,4.03,0.89,55.0,15.0
14,2013,36.74,32.39,34.93,4.35,1.82,0.89,67.0,34.0
15,YTD,12.05,13.98,6.96,-1.92,5.09,0.89,47.0,9.0
