,Year,VSSCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.55,21.04,19.95,-24.59,-23.5,0.04,55.0,92.0
1,2000,11.74,-9.1,11.89,20.85,-0.15,0.5,76.0,14.0
2,2001,-4.36,-11.89,8.92,7.52,-13.28,-13.28,50.0,38.0
3,2002,-16.95,-22.1,-16.22,5.15,-0.73,0.51,52.0,9.0
4,2003,35.2,28.68,43.41,6.52,-8.21,0.6,0.6,85.0
5,2004,22.31,10.88,18.94,11.43,3.37,0.64,44.0,9.0
6,2005,3.89,4.91,6.75,-1.02,-2.86,0.8,37.0,75.0
7,2006,15.5,15.79,15.03,-0.3,0.47,0.8,24.0,44.0
8,2007,-5.27,5.49,-1.1,-10.76,-4.17,0.8,37.0,74.0
9,2008,-31.86,-37.0,-36.56,5.13,4.7,0.8,35.0,21.0
10,2009,23.07,26.46,31.8,-3.39,-8.73,0.8,42.0,85.0
11,2010,27.37,15.06,25.61,12.3,1.76,0.8,40.0,30.0
12,2011,-4.58,2.11,-4.07,-6.69,-0.51,0.79,38.0,63.0
13,2012,19.79,16.0,15.46,3.79,4.33,0.8,45.0,14.0
14,2013,42.54,32.39,37.39,10.15,5.15,0.79,55.0,15.0
15,YTD,5.42,13.98,1.83,-8.56,3.59,0.79,51.0,12.0
