,Year,VTINX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,6.82,11.48,6.46,-4.66,0.37,0.37,1.0,35.0
1,2005,3.33,7.04,3.3,-3.72,0.03,0.03,0.03,48.0
2,2006,6.38,12.95,7.34,-6.57,-0.96,-0.96,22.0,56.0
3,2007,8.17,8.63,4.46,-0.47,3.71,3.71,3.0,1.0
4,2008,-10.93,-22.19,-18.06,11.27,7.13,7.13,14.0,6.0
5,2009,14.28,21.77,18.36,-7.5,-4.09,-4.09,29.0,80.0
6,2010,9.39,12.33,8.94,-2.94,0.46,0.46,12.0,42.0
7,2011,5.25,0.59,1.6,4.66,3.65,3.65,14.0,9.0
8,2012,8.23,12.04,9.01,-3.82,-0.78,-0.78,7.0,67.0
9,2013,5.87,14.31,7.36,-8.44,-1.49,-1.49,40.0,56.0
10,YTD,5.98,5.81,5.03,0.18,0.95,0.95,6.0,28.0
