,Year,VTMFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.49,13.49,5.85,2.0,9.65,0.2,13.0,5.0
1,2000,-0.5,1.68,4.28,-2.18,-4.78,0.2,15.0,84.0
2,2001,-3.54,-2.46,-0.39,-1.07,-3.15,0.19,21.0,75.0
3,2002,-7.08,-6.69,-3.11,-0.38,-3.96,0.18,24.0,81.0
4,2003,17.05,22.48,12.34,-5.43,4.71,0.17,0.17,17.0
5,2004,7.16,11.48,5.46,-4.32,1.7,0.12,0.12,26.0
6,2005,4.8,7.04,2.97,-2.24,1.84,0.12,10.0,11.0
7,2006,9.09,12.95,8.16,-3.87,0.93,0.12,4.0,27.0
8,2007,5.11,8.63,4.53,-3.52,0.58,0.12,10.0,44.0
9,2008,-18.32,-22.19,-18.61,3.87,0.29,0.13,19.0,43.0
10,2009,19.14,21.77,20.77,-2.63,-1.63,0.15,27.0,61.0
11,2010,9.22,12.33,10.03,-3.12,-0.81,0.15,23.0,66.0
12,2011,5.58,0.59,1.7,4.99,3.88,0.12,12.0,6.0
13,2012,10.87,12.04,9.4,-1.17,1.47,0.12,7.0,29.0
14,2013,14.34,14.31,7.23,0.04,7.11,0.12,9.0,3.0
15,YTD,9.69,5.81,4.98,3.88,4.71,4.71,4.71,3.0
