,Year,VTMGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,0.35,7.0,7.0
1,2000,-14.29,-15.31,-16.34,1.02,2.05,0.35,5.0,33.0
2,2001,-21.94,-19.73,-21.67,-2.2,-0.26,0.35,20.0,53.0
3,2002,-15.62,-14.95,-16.69,-0.67,1.07,0.31,7.0,36.0
4,2003,38.67,40.83,33.58,-2.16,5.08,0.28,0.28,16.0
5,2004,20.25,20.91,17.39,-0.66,2.86,0.23,0.23,15.0
6,2005,13.6,16.62,14.72,-3.02,-1.13,0.2,5.0,57.0
7,2006,26.27,26.65,24.77,-0.38,1.5,0.2,4.0,31.0
8,2007,11.15,16.65,12.71,-5.5,-1.56,0.15,6.0,59.0
9,2008,-41.27,-45.53,-43.99,4.25,2.72,0.15,16.0,20.0
10,2009,28.27,41.45,31.24,-13.18,-2.97,0.2,9.0,63.0
11,2010,8.36,11.15,10.24,-2.79,-1.88,0.18,6.0,68.0
12,2011,-12.51,-13.71,-13.97,1.19,1.45,0.12,5.0,30.0
13,2012,18.56,16.83,18.29,1.73,0.27,0.1,7.0,42.0
14,2013,22.06,15.29,19.44,6.77,2.63,0.09,13.0,24.0
15,YTD,-2.01,-0.27,-1.63,-1.74,-0.38,-0.38,-0.38,54.0
