,Year,VTMSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,0.19,27.0,27.0
1,2000,13.44,-9.1,11.89,22.54,1.55,0.2,64.0,48.0
2,2001,5.44,-11.89,8.92,17.33,-3.48,0.2,25.0,62.0
3,2002,-14.44,-22.1,-16.22,7.66,1.78,0.17,21.0,40.0
4,2003,38.51,28.68,43.41,9.83,-4.9,0.17,0.17,68.0
5,2004,22.84,10.88,18.94,11.95,3.9,0.14,0.14,16.0
6,2005,7.74,4.91,6.75,2.83,0.99,0.14,20.0,38.0
7,2006,14.16,15.79,15.03,-1.63,-0.86,0.14,42.0,59.0
8,2007,0.51,5.49,-1.1,-4.99,1.6,0.12,53.0,34.0
9,2008,-30.82,-37.0,-36.56,6.18,5.74,0.14,32.0,14.0
10,2009,25.59,26.46,31.8,-0.88,-6.22,0.19,37.0,74.0
11,2010,25.99,15.06,25.61,10.93,0.38,0.18,46.0,46.0
12,2011,1.22,2.11,-4.07,-0.89,5.29,0.12,40.0,8.0
13,2012,16.03,16.0,15.46,0.03,0.57,0.12,42.0,40.0
14,2013,41.0,32.39,37.39,8.61,3.6,0.12,31.0,21.0
15,YTD,3.26,13.98,1.83,-10.71,1.44,1.44,1.44,37.0
