,Year,VTTHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,11.95,11.48,9.94,0.47,2.01,2.01,2.0,1.0
1,2005,6.3,7.04,7.35,-0.74,-1.05,-1.05,-1.05,94.0
2,2006,15.24,12.95,14.55,2.29,0.7,0.7,14.0,24.0
3,2007,7.49,8.63,7.02,-1.14,0.47,0.47,1.0,47.0
4,2008,-34.66,-22.19,-37.04,-12.47,2.39,2.39,10.0,13.0
5,2009,28.17,21.77,30.06,6.4,-1.88,-1.88,9.0,64.0
6,2010,15.14,12.33,14.28,2.81,0.86,0.86,6.0,26.0
7,2011,-2.24,0.59,-3.51,-2.83,1.27,1.27,18.0,19.0
8,2012,15.16,12.04,14.64,3.12,0.52,0.52,6.0,40.0
9,2013,22.82,14.31,20.0,8.52,2.83,2.83,12.0,23.0
10,YTD,8.19,5.81,6.47,2.38,1.72,1.72,6.0,9.0
