,Year,VTTVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,10.11,11.48,8.96,-1.37,1.15,1.15,3.0,1.0
1,2005,5.45,7.04,6.59,-1.6,-1.14,-1.14,2.0,94.0
2,2006,13.24,12.95,14.16,0.29,-0.92,-0.92,22.0,45.0
3,2007,7.59,8.63,6.52,-1.04,1.07,1.07,4.0,41.0
4,2008,-30.05,-22.19,-34.15,-7.86,4.1,4.1,17.0,15.0
5,2009,24.81,21.77,28.32,3.04,-3.51,-3.51,21.0,78.0
6,2010,13.84,12.33,13.29,1.5,0.55,0.55,11.0,37.0
7,2011,-0.37,0.59,-2.06,-0.96,1.69,1.69,23.0,16.0
8,2012,13.29,12.04,13.03,1.25,0.27,0.27,9.0,43.0
9,2013,18.14,14.31,15.3,3.83,2.84,2.84,16.0,24.0
10,YTD,7.87,5.81,6.13,2.07,1.75,1.75,7.0,4.0
