,Year,VTXVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,9.04,11.48,7.39,-2.44,1.64,1.64,1.0,12.0
1,2005,4.94,7.04,4.64,-2.11,0.3,0.3,1.0,44.0
2,2006,11.42,12.95,11.13,-1.53,0.3,0.3,15.0,30.0
3,2007,7.55,8.63,5.84,-1.09,1.7,1.7,5.0,23.0
4,2008,-24.06,-22.19,-27.76,-1.86,3.7,3.7,24.0,15.0
5,2009,21.3,21.77,23.55,-0.47,-2.25,-2.25,37.0,76.0
6,2010,12.47,12.33,11.5,0.14,0.97,0.97,19.0,34.0
7,2011,1.71,0.59,-0.27,1.12,1.99,1.99,27.0,19.0
8,2012,11.37,12.04,10.65,-0.68,0.72,0.72,13.0,34.0
9,2013,13.0,14.31,9.65,-1.31,3.34,3.34,26.0,21.0
10,YTD,7.18,5.81,5.38,1.37,1.79,1.79,10.0,6.0
