,Year,VUSTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-8.66,-0.82,-8.24,-7.84,-0.42,-0.42,22.0,58.0
1,2000,19.72,11.63,17.06,8.1,2.66,0.28,43.0,35.0
2,2001,4.31,8.44,4.1,-4.14,0.21,0.29,49.0,55.0
3,2002,16.67,10.26,13.86,6.42,2.82,0.29,64.0,50.0
4,2003,2.68,4.1,1.75,-1.43,0.93,0.28,100.0,41.0
5,2004,7.12,4.34,7.39,2.78,-0.27,0.26,0.26,57.0
6,2005,6.61,2.43,6.06,4.18,0.55,0.24,38.0,45.0
7,2006,1.74,4.33,0.15,-2.59,1.6,0.26,25.0,37.0
8,2007,9.24,6.97,9.76,2.27,-0.52,0.26,68.0,65.0
9,2008,22.51,5.24,27.67,17.27,-5.15,0.26,37.0,59.0
10,2009,-12.06,5.93,-17.51,-17.99,5.45,0.25,80.0,44.0
11,2010,8.92,6.54,11.65,2.38,-2.73,0.25,77.0,93.0
12,2011,29.27,7.84,32.9,21.43,-3.63,0.22,52.0,55.0
13,2012,3.46,4.21,3.87,-0.75,-0.41,0.2,229.0,64.0
14,2013,-13.03,-2.02,-13.34,-11.0,0.32,0.2,105.0,56.0
15,YTD,21.84,5.87,19.07,15.98,2.78,0.2,44.0,24.0
