,Year,VWAHX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.38,-2.06,-2.06,-1.32,-1.32,0.18,22.0,19.0
1,2000,10.73,11.68,9.16,-0.96,1.57,0.19,32.0,63.0
2,2001,5.34,5.13,4.39,0.22,0.95,0.19,18.0,7.0
3,2002,7.3,9.6,8.57,-2.3,-1.27,0.17,18.0,75.0
4,2003,6.35,5.31,4.1,1.04,2.25,0.17,0.17,7.0
5,2004,4.98,4.48,2.83,0.5,2.15,0.15,0.15,10.0
6,2005,4.34,3.51,1.8,0.83,2.54,0.15,15.0,7.0
7,2006,5.53,4.84,3.67,0.69,1.86,0.17,15.0,2.0
8,2007,1.57,3.36,2.75,-1.79,-1.19,0.15,22.0,88.0
9,2008,-10.45,-2.47,-2.32,-7.98,-8.13,0.15,24.0,97.0
10,2009,20.13,12.91,11.41,7.22,8.72,0.2,23.0,3.0
11,2010,2.55,2.38,2.22,0.17,0.32,0.2,19.0,43.0
12,2011,10.98,10.7,9.0,0.28,1.98,0.2,19.0,12.0
13,2012,9.36,6.78,5.62,2.58,3.73,0.2,20.0,6.0
14,2013,-3.22,-2.55,-2.27,-0.67,-0.95,0.2,29.0,80.0
15,YTD,10.78,8.5,6.44,2.28,4.34,4.34,4.34,3.0
