,Year,VWELX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.41,13.49,10.71,-9.09,-6.3,0.3,22.0,80.0
1,2000,10.4,1.68,1.82,8.72,8.58,0.31,33.0,11.0
2,2001,4.19,-2.46,-5.05,6.65,9.24,0.36,33.0,5.0
3,2002,-6.9,-6.69,-12.02,-0.2,5.13,0.36,25.0,10.0
4,2003,20.75,22.48,20.35,-1.73,0.4,0.36,0.36,43.0
5,2004,11.17,11.48,8.86,-0.3,2.31,0.31,0.31,17.0
6,2005,6.82,7.04,5.13,-0.22,1.7,0.29,24.0,20.0
7,2006,14.97,12.95,11.29,2.02,3.68,0.3,25.0,8.0
8,2007,8.34,8.63,5.99,-0.3,2.34,0.27,23.0,22.0
9,2008,-22.3,-22.19,-28.0,-0.1,5.71,0.29,30.0,13.0
10,2009,22.2,21.77,24.13,0.42,-1.93,0.34,28.0,62.0
11,2010,10.94,12.33,11.83,-1.4,-0.9,0.3,35.0,69.0
12,2011,3.85,0.59,-0.11,3.26,3.96,0.27,38.0,7.0
13,2012,12.57,12.04,11.72,0.53,0.86,0.25,31.0,38.0
14,2013,19.66,14.31,16.48,5.36,3.19,0.26,35.0,22.0
15,YTD,10.1,5.81,6.95,4.29,3.15,3.15,3.15,9.0
