,Year,VWIGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.34,30.63,49.56,-4.29,-23.22,-23.22,37.0,82.0
1,2000,-8.6,-15.31,-21.04,6.71,12.44,0.53,48.0,11.0
2,2001,-18.92,-19.73,-24.05,0.82,5.13,0.61,48.0,28.0
3,2002,-17.79,-14.95,-19.15,-2.84,1.36,0.67,40.0,62.0
4,2003,34.45,40.83,33.83,-6.38,0.62,0.69,59.0,39.0
5,2004,18.95,20.91,16.23,-1.95,2.72,0.63,0.63,30.0
6,2005,15.0,16.62,15.23,-1.62,-0.23,0.58,48.0,39.0
7,2006,25.92,26.65,23.95,-0.73,1.97,0.55,45.0,37.0
8,2007,15.98,16.65,16.26,-0.67,-0.28,0.51,41.0,22.0
9,2008,-44.94,-45.53,-46.56,0.59,1.63,0.47,55.0,62.0
10,2009,41.63,41.45,38.02,0.18,3.6,0.53,51.0,10.0
11,2010,15.66,11.15,14.78,4.51,0.88,0.49,44.0,8.0
12,2011,-13.68,-13.71,-12.3,0.02,-1.38,0.47,43.0,47.0
13,2012,20.01,16.83,17.7,3.18,2.31,0.49,30.0,25.0
14,2013,22.95,15.29,18.58,7.66,4.36,0.48,31.0,18.0
15,YTD,-1.03,-0.27,-0.63,-0.76,-0.4,0.47,21.0,48.0
